TP9,AF7,AF8,TP10
-0.48828125,0.0,-0.48828125,0.0
0.48828125,0.0,-3.90625,0.0
22.94921875,-6.34765625,26.3671875,-32.2265625
-59.5703125,12.6953125,-74.70703125,70.3125
326.66015625,-71.77734375,289.0625,-396.484375
696.77734375,-198.2421875,477.05078125,-1000.0
490.234375,-188.96484375,57.12890625,-992.1875
317.87109375,-162.109375,87.890625,-986.81640625
-455.078125,-151.3671875,111.328125,-1000.0
-1000.0,-157.2265625,92.7734375,-1000.0
-980.46875,-153.3203125,95.703125,-1000.0
-992.1875,-155.76171875,94.23828125,-1000.0
-1000.0,-150.390625,96.19140625,-1000.0
-999.0234375,-136.23046875,101.5625,-1000.0
-1000.0,-140.625,98.14453125,-1000.0
-996.09375,-145.5078125,96.19140625,-1000.0
-974.609375,-145.5078125,94.7265625,-1000.0
-985.3515625,-131.34765625,109.375,-1000.0
-1000.0,-107.91015625,137.20703125,-1000.0
-970.703125,-113.76953125,126.953125,-1000.0
-701.171875,-114.2578125,124.0234375,-1000.0
-748.53515625,-101.5625,136.71875,-1000.0
-1000.0,-104.00390625,126.46484375,-1000.0
-829.58984375,-101.5625,120.60546875,-1000.0
-177.734375,-104.98046875,121.09375,-1000.0
-24.4140625,-110.83984375,120.1171875,-1000.0
-523.4375,-118.65234375,104.4921875,-1000.0
-757.8125,-116.2109375,102.05078125,-1000.0
-336.9140625,-102.5390625,121.58203125,-1000.0
-14.16015625,-100.09765625,128.41796875,-1000.0
-361.328125,-100.09765625,122.0703125,-1000.0
-606.93359375,-98.14453125,117.1875,-1000.0
-176.26953125,-95.703125,112.3046875,-1000.0
298.828125,-91.796875,114.2578125,-1000.0
56.640625,-107.91015625,93.26171875,-1000.0
-384.765625,-108.88671875,77.1484375,-1000.0
-187.01171875,-89.35546875,93.26171875,-1000.0
289.0625,-93.26171875,93.26171875,-1000.0
155.2734375,-94.7265625,91.30859375,-1000.0
-426.7578125,-92.28515625,92.28515625,-1000.0
-449.21875,-91.30859375,87.890625,-1000.0
40.0390625,-92.7734375,82.03125,-1000.0
31.73828125,-105.46875,70.3125,-1000.0
-536.1328125,-100.5859375,74.21875,-1000.0
-784.66796875,-85.9375,93.26171875,-1000.0
-373.53515625,-91.796875,91.30859375,-1000.0
-99.609375,-96.6796875,85.9375,-1000.0
-506.34765625,-98.6328125,86.42578125,-1000.0
-900.390625,-93.26171875,91.796875,-1000.0
-574.70703125,-101.07421875,85.44921875,-1000.0
-129.8828125,-100.09765625,79.58984375,-1000.0
-375.9765625,-89.35546875,84.9609375,-1000.0
-846.19140625,-90.8203125,85.44921875,-1000.0
-686.03515625,-94.23828125,81.0546875,-1000.0
-182.12890625,-89.35546875,85.9375,-1000.0
-221.6796875,-85.44921875,88.8671875,-1000.0
-698.73046875,-80.078125,98.14453125,-1000.0
-708.984375,-89.35546875,97.65625,-1000.0
-193.84765625,-96.6796875,93.26171875,-1000.0
-19.53125,-76.171875,111.328125,-1000.0
-457.51953125,-79.58984375,104.00390625,-1000.0
-686.03515625,-91.30859375,93.75,-1000.0
-248.046875,-88.37890625,99.609375,-1000.0
72.265625,-80.56640625,106.93359375,-1000.0
-278.80859375,-82.51953125,105.46875,-1000.0
-630.859375,-98.14453125,85.9375,-1000.0
-327.1484375,-93.26171875,97.65625,-1000.0
102.05078125,-79.1015625,114.74609375,-1000.0
-115.234375,-83.984375,103.02734375,-1000.0
-580.56640625,-93.75,96.6796875,-1000.0
-423.33984375,-91.796875,104.00390625,-1000.0
62.5,-85.44921875,112.79296875,-1000.0
-5.37109375,-93.75,107.91015625,-1000.0
-506.34765625,-100.09765625,106.93359375,-1000.0
-578.125,-91.30859375,119.140625,-1000.0
-166.9921875,-90.8203125,116.69921875,-1000.0
-98.14453125,-85.44921875,115.234375,-1000.0
-574.70703125,-82.03125,121.58203125,-1000.0
-817.87109375,-83.0078125,121.58203125,-999.0234375
-448.2421875,-77.1484375,120.60546875,-1000.0
-188.4765625,-79.58984375,110.83984375,-1000.0
-578.125,-86.9140625,100.5859375,-1000.0
-982.91015625,-69.82421875,118.1640625,-1000.0
-735.3515625,-63.4765625,116.2109375,-1000.0
-329.1015625,-77.1484375,104.4921875,-1000.0
-507.8125,-67.3828125,106.4453125,-1000.0
-958.49609375,-60.05859375,110.83984375,-1000.0
-832.51953125,-69.3359375,110.3515625,-1000.0
-385.7421875,-77.63671875,98.14453125,-1000.0
-414.55078125,-82.03125,90.8203125,-1000.0
-807.6171875,-78.61328125,85.44921875,-1000.0
-878.90625,-72.75390625,81.54296875,-1000.0
-410.64453125,-82.03125,68.359375,-1000.0
-194.82421875,-77.1484375,73.2421875,-1000.0
-601.5625,-62.01171875,88.8671875,-1000.0
-854.98046875,-73.73046875,76.171875,-1000.0
-472.65625,-78.61328125,70.3125,-1000.0
-108.88671875,-69.82421875,76.171875,-1000.0
-395.01953125,-66.89453125,75.1953125,-1000.0
-780.2734375,-71.2890625,74.70703125,-1000.0
-524.4140625,-74.70703125,76.171875,-1000.0
-80.078125,-76.66015625,75.68359375,-1000.0
-219.23828125,-76.66015625,73.2421875,-1000.0
-678.22265625,-81.0546875,75.1953125,-1000.0
-652.83203125,-83.0078125,79.1015625,-1000.0
-242.67578125,-63.96484375,94.7265625,-1000.0
-243.65234375,-57.6171875,100.09765625,-1000.0
-698.73046875,-72.265625,88.37890625,-1000.0
-789.0625,-70.80078125,93.26171875,-985.83984375
-276.85546875,-61.03515625,105.46875,-979.4921875
-1.953125,-69.82421875,99.609375,-1000.0
-407.2265625,-77.63671875,94.7265625,-996.58203125
-708.49609375,-73.73046875,101.07421875,-819.82421875
-303.22265625,-73.73046875,98.6328125,-780.76171875
175.78125,-73.2421875,101.5625,-970.21484375
31.73828125,-86.9140625,87.40234375,-1000.0
-305.6640625,-85.9375,87.890625,-797.36328125
28.3203125,-64.453125,109.86328125,-655.76171875
540.0390625,-77.1484375,93.26171875,-857.91015625
475.5859375,-84.47265625,89.84375,-1000.0
279.78515625,-74.21875,109.375,-750.9765625
588.8671875,-69.3359375,115.234375,-447.265625
959.47265625,-75.1953125,103.02734375,-680.17578125
979.00390625,-77.1484375,95.21484375,-965.8203125
870.60546875,-72.75390625,108.3984375,-729.4921875
873.046875,-70.80078125,117.1875,-333.984375
977.05078125,-76.171875,106.93359375,-421.875
965.8203125,-85.9375,97.16796875,-795.8984375
964.84375,-65.4296875,114.74609375,-806.15234375
967.28515625,-53.22265625,128.41796875,-463.8671875
966.796875,-69.82421875,111.328125,-440.91796875
966.796875,-80.078125,92.28515625,-832.51953125
966.796875,-79.1015625,96.6796875,-936.03515625
966.30859375,-72.75390625,115.234375,-526.85546875
966.796875,-63.4765625,118.65234375,-338.8671875
966.796875,-63.96484375,104.00390625,-699.70703125
966.796875,-70.80078125,104.00390625,-954.58984375
966.796875,-69.82421875,111.81640625,-690.91796875
966.796875,-75.68359375,102.05078125,-333.0078125
966.796875,-81.0546875,97.65625,-418.45703125
966.796875,-69.3359375,112.3046875,-662.109375
966.796875,-72.75390625,108.88671875,-475.09765625
966.796875,-76.171875,110.83984375,-204.1015625
966.796875,-74.70703125,116.69921875,-416.9921875
966.796875,-81.0546875,112.79296875,-870.1171875
966.30859375,-84.47265625,109.375,-884.27734375
968.26171875,-85.44921875,112.3046875,-503.41796875
954.58984375,-88.8671875,119.62890625,-432.6171875
986.328125,-88.37890625,117.1875,-806.640625
879.8828125,-89.35546875,107.91015625,-952.63671875
