TP9,AF7,AF8,TP10
-52.2401572785129,-0.01663551047086478,-0.6024339771809587,-63.002791241072174
-48.734660447906,-0.015822590886792106,-4.0148244801133135,-59.92406378381393
-47.12065043490277,-6.370180033328616,26.212629496029955,-117.52969891409698
-53.62562390421639,12.697223405207033,-74.6939186352016,77.54957048585061
65.06523315062594,-71.86143278051027,288.4854818089675,-714.9503243440171
401.7896434309424,-198.33701055481455,476.40010627818356,-1359.1183533452217
652.122310570031,-188.9128052800171,57.48599377534574,-795.1049477936327
522.4588677980646,-162.04361077426452,88.34189854112942,-737.751023350174
92.49031223765117,-151.19117300216564,112.53593494286066,-333.3895775589477
-179.7335807748772,-156.9628899212834,94.58275642629316,-1.4067520174624184
-173.14173397200096,-153.06079925991784,97.48390258100487,-17.159195812220783
-177.32134789331317,-155.49978207357503,96.03568842996854,-7.981043193330004
-184.91474756996345,-150.12861789432677,97.98929671485318,-7.714310216823985
-193.63428021247339,-135.97157842973917,103.33900311064569,-19.518347190876234
-189.7576500650494,-140.36454963316118,99.93173938660325,-13.610065082418915
-184.40219036690644,-145.2468962883463,97.98181100964374,-11.845795589534555
-171.67682969532288,-145.24971185148635,96.4976468900313,-22.509029341809367
-194.7423771255466,-131.0935169145611,111.11890189439978,-37.51150138059536
-234.3836577644999,-107.66405080116851,138.8958046848489,-67.93781632107795
-207.9375942749263,-113.524342187363,128.63561020080664,-71.40839741383066
-61.626974014759824,-114.05223239907728,125.43412635236089,-221.41732864204363
-102.02631021774985,-101.35468135644584,138.14479971229605,-212.9394142226835
-226.25634563272143,-103.7551882971118,128.17154416480966,-58.04361752319549
-131.13566149265438,-101.33798365868111,122.14609791814347,-149.70110432385212
216.81724158353805,-104.8536411245565,121.96404005522191,-519.6724246335586
301.2350634978996,-110.73516465696854,120.83549451975506,-603.5543930469396
51.53259028600028,-118.46752105966748,105.7604391826541,-300.0307747647402
-71.98459091798885,-115.99047984245712,103.56355976561247,-165.07234328299756
130.8022207537394,-102.38871627635507,122.61370572013846,-430.6016783304551
295.9973189798944,-99.99795690916957,129.10210475375692,-622.4139458635079
116.5847013867122,-99.94403237319405,123.12447819742859,-418.1883954180958
-10.62644833039041,-97.95284981692558,118.50281631529027,-274.05502019419305
222.29373566110343,-95.575007839642,113.1838263325133,-514.7886370780982
472.4452751648101,-91.74106620346706,114.64077197311721,-788.6382889447929
366.93184076916424,-107.8104139186094,93.94614975460452,-622.251129982757
146.1559198029783,-108.71605535389679,78.3195282296391,-353.65552286103554
231.16362598718936,-89.22104733651987,94.18411731223405,-490.91287179376735
486.0509278173667,-93.19839731500943,93.69622988242855,-760.1860696248611
416.9500999464427,-94.6424471945821,91.88579223921862,-681.4345410842583
105.23095075761583,-92.11414979920701,93.45860101791644,-352.3562899314099
96.78914108720357,-91.13308088580334,89.09499273723189,-335.2893881722777
363.0333753508813,-92.66961178998179,82.74370111299103,-606.7863655148265
372.92430036756923,-105.3590766117273,71.0650778299679,-584.6397621413066
65.40606229686153,-100.39257434066724,75.54560630614891,-267.6859070512571
-88.34065570481486,-85.71366733544347,94.79765653418684,-152.29035726024767
134.2818295900059,-91.63363850630203,92.42872114036835,-381.7830385526252
286.4776531694336,-96.55558079522643,86.78911912141069,-529.9772239513959
69.9854205992997,-98.4475516810626,87.69703936730446,-298.37147341178775
-146.36068117653244,-93.01933771981561,93.46009150670567,-82.04311059073851
35.20358446779472,-100.8781645155906,86.7945411897602,-257.49414037452243
276.99118922081516,-99.9668676248265,80.48731415068458,-504.67113930878634
